id,mainAsset,mainTimeFrame,parameters,ASSETS,ASSETS 1,TIMEFRAMES,TIMEFRAMES 1,INDICATORS_PROPERTIES,LAG_TIMESTEPS,ASSETS,LABELS,PERCENTAGE_OF_DATASET_FOR_TRAINING,FEATURES,EPOCHS,LSTM_NEURONS,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MAX,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MIN,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_CLOSE,HOUR_OF_DAY,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_YEAR,MONTH_OF_YEAR,YEAR,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_OPEN,CANDLES_CANDLES-VOLUMES_VOLUMES_VOLUME_BUY,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE5RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT5RATE,parametersHash,status,timeSeriesFileName,parametersFileName,filesTimestaps,parameters,forcastedCandle,begin,end,open,predictions,predictions 1,predictions 2,predictions 3,errorRMSE,percentageErrorRMSE,enlapsedSeconds,enlapsedMinutes,enlapsedHours,assignedTimestamp,when,testedByProfile
3255,BTC,08-hs,31,1,BTC,1,08-hs,8,10,1,3,80,8,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,ON,OFF,ON,OFF,OFF,3003207d14d77cdabfbd7554eeb66f96,Tested,time-series-BTC-08-hs-0000003255,parameters-0000003255,1,2022-04-21T05:46:59.970Z,3,1.65047E+12,1.6505E+12,41358.19,3,41.872.633,40.801.688,41589.86,901.175,Feb 15,91,Jan 51,0.03,1650520111707,00:05:33 HH:MM:SS ago,p-pl
3274,BTC,08-hs,31,1,BTC,1,08-hs,6,10,1,3,80,6,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,81199ec408855f803f7862e31e749d50,Tested,time-series-BTC-08-hs-0000003274,parameters-0000003274,1,2022-04-21T05:56:13.680Z,3,1.65047E+12,1.6505E+12,41358.19,3,41371.93,40431.11,40.989.008,890.844,Feb 15,85,Jan 42,0.02,1650520660679,00:05:21 HH:MM:SS ago,p-pl
3318,BTC,08-hs,31,1,BTC,1,08-hs,7,10,1,3,80,7,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,cddf6efcdb32bbaa3515c40197295c70,Tested,time-series-BTC-08-hs-0000003318,parameters-0000003318,1,2022-04-21T06:26:22.769Z,3,1.65047E+12,1.6505E+12,41358.19,3,41.715.953,40331.02,41.017.703,898.529,Feb 15,168,Feb 81,0.05,1650522552732,00:05:06 HH:MM:SS ago,p-pl
3435,BTC,08-hs,31,1,BTC,1,08-hs,8,15,1,3,80,8,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,ON,OFF,ON,OFF,OFF,9b3977dbc8a193820b11353e24c3274d,Tested,time-series-BTC-08-hs-0000003435,parameters-0000003435,1,2022-04-21T07:19:09.309Z,3,1.65047E+12,1.6505E+12,41358.19,3,41.265.324,40473.71,41135.24,885.346,Feb 15,116,Jan 93,0.03,1650525666506,00:08:32 HH:MM:SS ago,p-pl
3467,BTC,08-hs,31,1,BTC,1,08-hs,6,15,1,3,80,6,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,44e18855cd21615415cf781f35003f3b,Tested,time-series-BTC-08-hs-0000003467,parameters-0000003467,1,2022-04-21T07:38:24.072Z,3,1.65047E+12,1.6505E+12,41358.19,3,41.191.766,40.148.457,40774.35,884.67,Feb 15,269,Apr 48,0.07,1650526974296,00:21:37 HH:MM:SS ago,Luis-Fernando-Molina
3520,BTC,08-hs,31,1,BTC,1,08-hs,7,15,1,3,80,7,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,OFF,5dfb3bb7fe0389eb7fea7bcbf7dfe1d0,Tested,time-series-BTC-08-hs-0000003520,parameters-0000003520,1,2022-04-21T08:37:09.399Z,3,1.6505E+12,1.65053E+12,41855.69,3,42.301.855,41408.22,41.981.727,909.287,Feb 15,234,MŠr 89,0.06,1650530464626,00:04:11 HH:MM:SS ago,p-pl
634,BTC,01-hs,31,1,BTC,1,01-hs,6,10,1,3,80,6,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,7ed181c3e97c04d1709ec757e7f4eb09,Tested,time-series-BTC-01-hs-0000000634,parameters-0000000634,1,2022-04-19T12:41:26.509Z,3,1.65037E+12,1.65037E+12,40687.3,3,41.942.254,41.449.273,41731.86,906.596,Feb 16,1270,21.16,0.35,1650373361149,01:19:25 HH:MM:SS ago,p-pl
888,BTC,02-hs,31,1,BTC,1,02-hs,6,5,1,3,80,6,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,b91dc63ff509cf74b6f6fe5402056dd7,Tested,time-series-BTC-02-hs-0000000888,parameters-0000000888,1,2022-04-19T20:27:02.641Z,3,1.65039E+12,1.6504E+12,41417.24,3,42363.98,41.577.598,42573.52,915.535,Feb 16,29,0.49,0.01,1650400055942,23:57:09 HH:MM:SS ago,theblockchainarborist
1413,BTC,03-hs,31,1,BTC,1,03-hs,7,5,1,3,80,7,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,2a431e1fe40ec061efd83343889b3eea,Tested,time-series-BTC-03-hs-0000001413,parameters-0000001413,1,2022-04-20T13:07:38.217Z,3,1.65045E+12,1.65046E+12,42090,3,43112.51,42257.03,42602.79,932.933,Feb 16,44,0.73,0.01,1650460104808,00:08:09 HH:MM:SS ago,caoHenriques
1464,BTC,03-hs,31,1,BTC,1,03-hs,8,5,1,3,80,8,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,OFF,ON,OFF,OFF,OFF,f4e0c172a96410f505a036ad7858d71e,Tested,time-series-BTC-03-hs-0000001464,parameters-0000001464,1,2022-04-20T13:48:24.261Z,3,1.65045E+12,1.65046E+12,42090,3,41.599.105,40844.37,41057.25,899.432,Feb 16,341,Mai 69,0.09,1650462848682,00:06:22 HH:MM:SS ago,caoHenriques
